codebarre,carrefour
3274080005003,
3017620422003,"3,21"
7622210449283,"1,49"
5449000214911,
3017620425035,"5,89"
3175680011480,"1,59"
7613034626844,"2,59"
3229820019307,"2,19"
5449000000996,
5449000131805,
80135463,
5410041001204,"0,73"
3029330022428,"1,89"
3229820129488,"2,49"
5010477348678,"3,65"
3229820100234,"2,35"
3017620429484,"5,19"
3046920022651,"1,59"
7622210713780,"2,59"
3175681851849,"1,79"
8001505005707,
80177173,
8002270014901,
5449000054227,
3046920022606,"1,79"
3046920029759,"1,89"
3045140105502,
3155251205296,"1,95"
5411188112709,"2,39"
5411188103387,"2,25"
3256540000698,"1,59"
5411188119098,"2,15"
3155250358788,"2,75"
3168930009078,
7613035040823,"1,95"
7622201809638,"1,70"
3225350000501,"2,45"
8712100871986,
8715700017006,"2,19"
3159470000120,"2,59"
8715700407760,"2,49"
3760049790214,"2,19"
3175680015228,"2,69"
7613035989535,
7622210601988,"1,49"
7311070032611,"3,59"
5010029220773,
4006985902304,
3392460480827,"1,95"
3033491270864,"2,45"
3251490332080,"1,69"
3017760000062,"2,15"
5010477348357,"3,08"
3175680011534,"1,59"
8076809523547,"2,25"
3068320120256,
5000112611861,"1,93"
3229820021027,"1,79"
3033710073467,"2,75"
3061990143365,"1,45"
3017620421006,
3228857001194,"1,35"
3228857001316,"2,34"
3168930010906,"2,69"
3228857000838,"1,39"
3161711001971,"3,55"
3046920028721,"2,19"
5410126006957,"2,79"
3228857000883,"1,39"
7622300441937,"2,09"
8000500329474,"3,25"
5449000267412,"1,65"
3228850000262,"1,75"
3019081239640,"1,99"
5411188125808,"2,65"
3242274000059,
3182180001996,"2,19"
3033491279713,"1,75"
3251490320001,"1,39"
4008400260921,"2,80"
7613035866386,
8076809513722,"1,69"
3664346312936,"3,45"
3068320114453,
3228886030011,
8410376026962,
7613036669146,"3,19"
3523230028431,"2,25"
4008400828121,"2,80"
5010477348630,
7622210476104,"2,25"
3017760686792,"1,35"
3088540004440,"2,69"
3033490506629,
3664346305990,"2,39"
5000159459228,
5411188118961,"2,15"
3088545004001,"4,55"
7622210998095,"0,95"
3017760542890,"2,29"
3168930009795,"3,95"
80052760,
7613287514325,"3,45"
3046920029780,"1,79"
5053827192699,
3228021170039,"1,89"
7622210770714,"2,89"
5411188115472,"1,95"
7622210444141,"2,45"
8000430138719,"1,25"
5060088707685,"3,25"
3229820791081,"1,99"
5411188116592,"2,20"
3229820794532,"2,49"
3254691586054,"2,05"
3021769505602,
8715700423913,"2,45"
3175681028111,"2,39"
3041090061615,"1,95"
3159470001424,"3,15"
3229820181950,"2,89"
3504182920011,
3249760000654,"1,65"
3329770057234,"2,49"
8712100325953,
3155251205302,"3,55"
7311070032604,"3,69"
3229820181424,"3,15"
9002490205973,"1,05"
3046920028363,
3664346306003,"3,88"
8000500167113,
3175681037854,"1,99"
5010477348517,"3,69"
7613034579102,
8719200012608,"2,85"
3608580758686,"1,55"
5060042641000,"2,69"
3336971805038,"2,29"
5010477356277,
3056440083193,"0,99"
3302740047367,"2,85"
3700214611548,"2,35"
80761761,
87157154,
3034470003107,"2,35"
7622210995087,"2,59"
3292070005161,"2,79"
3560070308316,"2,39"
3033491214509,"3,39"
3017760472890,"2,49"
3061990141101,"1,99"
3124480186560,
3023470010017,
5411188115366,"2,20"
7613032655495,
3336971805021,"2,29"
3392460510050,"1,89"
8000500267035,
3251490432650,"2,29"
3760049790252,"1,59"
3175681116832,"2,35"
5000159407236,
8000300264388,
3038354199603,"1,99"
3229820794556,"3,65"
3336971209133,"0,99"
3560070472888,
8000500003787,
3048282322646,"1,35"
3229820794549,"3,59"
3560070614202,"0,89"
8076802085981,"1,09"
8000500310397,"1,95"
3021690201123,"1,49"
3046920010047,"2,09"
3760049790818,"1,59"
3760020500658,"7,85"
3033490128005,
3229820004334,"3,29"
5060335632302,"1,19"
5410041040807,"1,29"
8715700421353,"2,05"
5053827101424,"2,59"
7622210869616,"2,35"
3045320517101,
5411188124269,"2,19"
7613034897930,
3046920022705,"1,65"
3560070910366,"9,55"
3760091722508,"2,69"
5410041005707,"1,35"
5449000011527,
3045320008401,"1,69"
3183280001800,"0,48"
3229820762692,"3,15"
3278690085646,"2,25"
8712100751370,"1,55"
3034450001123,"1,75"
3468570116601,
3228857000876,"0,96"
8719200031449,"3,35"
3024720026895,"2,49"
3178530410136,"4,15"
3330720237255,"3,89"
7622210995063,"2,35"
3175681077324,"1,99"
3270190021087,"1,85"
3083681094923,"2,25"
3029330022411,"1,75"
7622210422163,"2,09"
3248830000150,"1,95"
3266980028428,"2,35"
3270190136880,"1,49"
9002490100070,
3174660084513,"2,59"
3341504005540,"2,49"
3073781099621,"2,55"
5060042640515,
8585002484093,"2,25"
8719200031524,"2,15"
3045140118502,
3229820181899,"2,25"
3560070879762,"2,19"
5053827184717,
3023260030980,"2,85"
3038350013002,"1,15"
3220035210008,"2,69"
3229820784939,"1,89"
3270190025337,
3421557910203,"2,29"
3700214614266,"2,55"
5010029000061,
3045140105106,"2,05"
3329770047891,
3228857001347,"3,19"
3033710071005,"5,49"
3080216049632,
3245412567216,
3523680438224,"1,99"
5449000214805,
7613035336131,
8002470023727,"10,19"
3242272250050,"2,85"
3248832940522,"3,69"
3560070689897,
3608580823452,"2,25"
3664320011510,
8000500150245,
3165433714010,"1,99"
3600900011037,"3,35"
7613034926814,
3165432640006,"1,36"
3178530405774,"2,29"
3229820794648,"1,59"
3608580765653,"2,49"
3760091725301,"2,59"
8412600009345,
3073781115673,
3083681117011,"3,85"
8711327385603,"3,05"
3175681072916,"2,25"
3498425591253,"2,55"
5038862165501,"2,99"
5053990155941,"2,35"
3229820800325,
8001665714372,"3,95"
3033710077274,"5,45"
3250541920139,"2,75"
3252378001319,"0,59"
3273220085301,"1,85"
3329770051096,"1,99"
3760020508388,"2,79"
